;0
LEVEL SENSOR TANK 1;123.01260917695286
pH 1 TANK 1;8.998243889281177
pH 2 TANK 1;9.723087049883686
EC 1 TANK 1;13.296510124764874
EC 2 TANK 1;15.504581817533547
VOLUME TANK 1;403.4948132858488
TEMP 1 TANK 2;75.60336646470085
TEMP 2 TANK 2;76.3046496079075
pH 1 TANK 2;12.203760310619757
pH 2 TANK 2;11.034485087265
EC 1 TANK 2;16.60301952235509
EC 2 TANK 2;17.947048024378002
LEVEL SENSOR TANK 2;108.16466434632788
FLOW METER TANK 2;1.645126485733305
VOLUME TANK 2;309.869188473966
NDS-REC PUMP TANK 1;7.616700311782962
NDS-SOLENOID FW TANK 1;5.073693604637934
NDS-A DOSING PUMP;7.394552051959841
NDS-B DOSING PUMP;7.394552051959841
NDS-REC PUMP TANK 2;7.59715920297864
NDS-SOLENOID FW TANK 2;6.765233894220258
NDS-C DOSING PUMP;11.979414246216347
NDS-D DOSING PUMP;11.979414246216347
NDS-PUMP FW ;7.048617203715549
NDS-ACID SOLENOID;1.226278667874851
NDS-BASE SOLENOID;1.0968334821202705
NDS-ACID DOSING PUMP ;3.63559579087137
NDS-BASE DOSING PUMP ;1.2262786678748865
NDS-OZONE GENERATOR;41.11152192443291
