;0
TCS TEMP OUT EXIT;8.143572529073166
TCS TEMP OUT WINDOW;7.642111565724046
PDS TEMP CONTROL BOX;589.970078534706
SUBFLOOR CPO 1;2.8514072783338484
SUBFLOOR CPO 2;335.33376693784743
SES DOOR STATUS;853.6878558126455
SES TEMPERATURE 1;2.1872444778001183
SES HUMIDITY 1;5.506395388885252
SES PAR LIGHT 1;2.738304720798726
SES CO2 1;295.33264323726263
SES CALCULATED VPD 1;3.0749617689827957
SES TEMP AIR IN 1;667.870634239501
SES TEMP AIR IN 2;1143.7847203020149
FEG TEMPERATURE 1;1.060342682548036
SES TEMPERATURE TARGET;0.3967441325005574
SES HUMIDITY TARGET;0.24679207030466271
FEG HUMIDITY 1;4.169031110427705
FEG PAR LIGHT 1;19.50888230017558
FEG CO2 1;293.36368541384985
FEG TEMPERATURE 2;1.2395619019630788
FEG HUMIDITY 2;4.858170398909633
FEG PAR LIGHT 2;187.21839634835433
FEG CO2 2;294.55625868713037
FEG TEMPERATURE AMS 1;1.0023833453337048
FEG HUMIDITY AMS 1;4.24196506528338
FEG TEMPERATURE AMS 2;1.4589358629128761
FEG HUMIDITY AMS 2;7.220967822922838
FEG TEMPERATURE PHM 1;1.2799693132928096
FEG HUMIDITY PHM 1;5.620478529665319
FEG AIR FLOW;8.108450049830985
FEG OXYGEN;0.2105010538957054
FEG CALCULATED VPD 1;1.068730531867937
FEG CALCULATED VPD 2;1.4608396924950673
FEG CO2 TARGET;360.753315603657
FEG TEMPERATURE TARGET;0.7599415629037308
FEG HUMIDITY TARGET;1.8522436076153521
AMS-FEG-FANS CIRC L1.L2;0.822640234348464
AMS-FEG-FANS CIRC L3.L4;0.822640234348464
AMS-FEG-FANS CIRC R1.R2;0.822640234348464
AMS-FEG-FANS CIRC R3.R4;0.822640234348464
AMS-FEG-FAN AIR LOOP 1;2.8824335874167835
AMS-FEG-FAN AIR LOOP 2;2.8824335874167835
AMS-FEG-UV LAMP AIR;0.822640234348464
AMS-FEG-HEATER AIR;24.896549589105007
L1-2L;3.5109641182221623
L1-2R;2.5083605124503414
L1-4L;2.977139037015893
L2-4 R;2.3908514453342913
L2-4L;2.171299876013272
R4-4R;2.47643456886274
L2-1L;2.1847654119545377
L2-1R;2.3117627677200114
R4-4L;3.017000879493739
L2-2L;2.1198917282273926
L2-2R;2.239450965879929
L2-3L;2.2049711852071994
L2-3R;2.599615408111447
L2-4R;2.143310971139494
L3-1L;2.7738291409160323
L3-1R;2.5528775313431784
L3-2L;2.463361159076638
L3-2R;2.2202611471794755
L3-3L;2.4136232105691664
L3-3R;2.1518774009757626
L3-4L;2.2661485425652006
L3-4R;2.2242267388563066
L4-1L;2.275451485390662
L4-1R;2.491314399568384
L4-2L;2.379134997381766
L4-2R;2.7469412168041965
L4-3L;2.2403841840077017
R4-2L;3.4577428648259985
R4-2R;2.723490249191486
R3-4L;3.4899952244543746
R3-4R;3.8916285050639448
R2-4L;2.915588380031925
L4-3R;2.4322058815156162
L4-4L;2.2862460801912685
L4-4R;2.4475859934937967
R1-2R;2.9266786258967623
R1-2L;2.647341992834297
R1-4R;2.608465332185616
R1-4L;2.3705367371907826
R2-4R;2.2605348413238606
R2-2L;2.6661210511906144
R2-2R;2.35054024287828
L1-2L BLUE;3548.5863664057824
L1-2R BLUE;3548.516116829604
L1-4L BLUE;3224.9909074686893
L1-4R BLUE;3224.9909074686893
R4-4R BLUE;2995.7397890877296
R4-4L BLUE;2995.8418179795653
L2-1L BLUE;4142.510706516268
L2-1R BLUE;4142.510706516268
L2-2L BLUE;4142.510706516268
L2-2R BLUE;4142.510706516268
L2-3L BLUE;4093.6838500031367
L2-3R BLUE;4093.6838500031367
L2-4L BLUE;4071.79325617217
L2-4R BLUE;4071.79325617217
L3-1L BLUE;4559.233439544629
L3-2L BLUE;3816.6241092349733
L3-1R BLUE;4559.213274890641
L3-2R BLUE;4142.421645885434
L3-3L BLUE;4142.510706516268
L3-3R BLUE;4142.510706516268
L3-4L BLUE;4142.510706516268
L3-4R BLUE;4137.496530893263
L4-1L BLUE;4142.510706516268
L4-1R BLUE;4142.510706516268
L4-2L BLUE;4142.510706516268
L4-2R BLUE;4142.510706516268
L4-3L BLUE;4142.421645885434
L4-3R BLUE;3900.5764760772668
L4-4L BLUE;4142.421645885434
L4-4R BLUE;4264.319344358964
R1-2R BLUE;2761.608258132927
R1-2L BLUE;2761.608258132927
R1-4R BLUE;2761.608258132927
R1-4L BLUE;2761.608258132927
R2-2R BLUE;276.16082581337844
R2-2L BLUE;2761.608258132927
R2-4R BLUE;2761.608258132927
R2-4L BLUE;2761.608258132927
R3-2/4R BLUE;4602.692775236336
R3-2/4L BLUE;4602.692775236336
R4-2R BLUE;3882.14638473219
R4-2L BLUE;3668.3883492703676
L1-2L RED;1373.4215007612631
L1-2R RED;13.733792232525293
L1-4L RED;1160.9088996926998
L1-4R RED;1160.9088996926998
R4-4R RED;987.4921177419961
R4-4L RED;9.875737577870117
L2-1L RED;1656.993148309807
L2-1R RED;1656.993148309807
L2-2L RED;1656.993148309807
L2-2R RED;1656.993148309807
L2-3L RED;1637.1247356956778
L2-3R RED;1637.1247356956778
L2-4L RED;1629.4829224969624
L2-4R RED;1629.4829224969624
L3-1L RED;3258.791043886255
L3-2L RED;1524.1025495696722
L3-1R RED;325.8758930414917
L3-2R RED;16.569575488430292
L3-3L RED;1656.993148309807
L3-3R RED;16.569931483100103
L3-4L RED;1656.993148309807
L3-4R RED;1654.95316969309
L4-1L RED;1656.993148309807
L4-1R RED;1656.993148309807
L4-2L RED;1656.993148309807
L4-2R RED;1656.993148309807
L4-3L RED;1656.9575488428848
L4-3R RED;1558.4362844859502
