SampleNumber;Date;Time;TCS COOL 1:EXT HS IN;TCS COOL 2:INT HSOUT;TCS COOL 3:I&L HS IN;TCS COOL 4:AMS HS IN;TCS COOL 5:AMS OUT;TCS COOL 6:AMS IN;TCS COOL 7:ISPR OUT;TCS COOL 8:ISPR IN;TCS COOL 9:LED OUT;TCS COOL 10:LED IN;TCS TEMP OUT EXIT; TCS PRESSURE 1:FREE;TCS PRESSURE 2:ISPR;TCS PRESSURE 3:LED;TCS PRESSURE 4:AMS;TCS COOL 11:FREE IN;TCS COOL 12:FREE OUT;TCS TEMP RADIATOR;TCS TEMP OUT WINDOW; TCS-COOL VALVE 1:FREE Current Timed Position; TCS-COOL VALVE 2:ISPR Current Timed Position; TCS-COOL VALVE 3:LED Current Timed Position; TCS-COOL VALVE 4:AMS Current Timed Position;TCS-COOLING PUMP RELAY;TCS-FREE COOLER
2137;26.04.2018;22:48:17; -18.39;  -1.20;  -0.66;   0.47;  10.48;   6.99;  17.33;  16.04;  23.36;  19.65; -22.71;    1.2;    1.0;    1.1;    1.1;  -6.80; -17.18; -24.03; -20.69;  30.75; 100.00;  60.50;   0.00;100;100
2138;26.04.2018;23:13:17; -18.58;  -9.37;  -3.98;  -9.77;  11.91;   6.61;  17.38;  17.02;  22.87;  20.24; -22.53;    1.2;    1.0;    1.1;    1.1;  -6.42; -17.32; -23.79; -20.86; 100.00;  60.50;  47.75;   0.00;100;100
2140;26.04.2018;23:43:17;-1884;-655;-225;  -5.23;  10.32;   1.82;  17.01;  17.71;  23.06;  19.49; -22.80;    1.2;    1.0;    1.1;    1.1;  -3.63; -17.56; -24.02; -21.00; 100.00;  24.50;  60.25;   0.00;100;100
2141;29.04.2018; 7:18:17; -17.56;  -4.02;   0.42;  -5.21;   7.75;  -0.53;  17.87;  17.49;  19.63;  19.30; -21.14;    1.3;    0.9;    0.9;    1.1;  -1.06; -15.13; -22.29; -20.06;  86.30;  35.00;  74.50;   0.00;100;100
2144;30.04.2018; 1:38:17; -13.59;  -3.44;   0.91;  -3.61;   5.27;   0.41;  17.56;  17.25;  19.65;  19.16; -16.67;    1.3;    0.8;    0.9;    1.1;  -1.90; -11.74; -18.09; -15.44;  87.75;  48.50;  63.50;   0.00;100;100
2145;30.04.2018; 1:58:17; -13.92;  -3.16;   0.21;  -3.27;   8.00;   2.21;  17.36;  17.25;  19.62;  19.14; -17.22;    1.3;    0.8;    0.9;    1.1;  -2.10; -12.04; -18.59; -15.91;  80.50;  36.50;  76.00;   0.00;100;100
2146; 1/05/2018;12:38:17; -21.91;  -9.05;  -3.04; -12.26;  11.64;   2.37;  17.72;  16.66;  22.77;  20.26; -25.75;    1.2;    1.1;    1.1;    1.1;  -3.53; -19.70; -27.15; -20.02; 100.00;  77.45;  47.00;   0.00;100;100
2148; 1/05/2018;12:58:17; -22.24;  -7.23;  -0.70;  -9.80;  11.83;   2.02;  18.28;  17.38;  23.13;  20.04; -25.99;    1.2;    1.1;    1.1;    1.1;  -3.29; -20.03; -27.63; -19.15;  82.20;  41.80;  60.75;  11.40;100;100
2152; 3/05/2018; 3:08:17; -20.11;  -6.45;  -2.52;  -9.06;   9.48;   1.46;  17.49;  17.46;  20.32;  19.64; -23.43;    1.2;    1.1;    1.1;    1.1;  -1.88; -18.46; -25.73; -22.39; 100.00;  36.50;  63.75;   0.00;100;100
2153; 3/05/2018; 3:18:17; -19.91;  -5.87;  -3.24;  -7.06;   9.86;   3.13;  17.14;  17.38;  20.22;  19.55; -23.22;    1.2;    1.0;    1.1;    1.1;  -1.80; -18.24; -25.48; -22.25; 100.00;  34.50;  63.75;   0.00;100;100
2154; 3/05/2018; 3:38:17; -19.62;  -5.36;  -0.76;  -9.39;   8.86;  -0.21;  17.46;  17.30;  20.03;  19.37; -23.02;    1.2;    1.1;    1.1;    1.1;  -1.34; -18.07; -25.39; -21.97; 100.00;  38.00;  63.75;   0.00;100;100
2155; 3/05/2018; 3:43:17; -19.85;  -6.31;  -3.08;  -8.22;   9.54;   2.59;  17.40;  17.49;  19.99;  19.32; -23.03;    1.2;    1.1;    1.1;    1.1;  -1.67; -18.18; -25.36; -21.89; 100.00;  26.00;  63.75;   0.00;100;100
2157; 6/05/2018; 8:28:17;  -7.28;  -3.15;   1.29;  -1.65;   7.93;   5.13;  17.68;  17.86;  21.49;  19.28; -10.26;    1.3;    1.1;    1.1;    1.1;  -2.19;  -6.31; -11.45;  -9.17; 100.00;  14.00;  63.75;  29.35;100;100
2159; 6/05/2018; 9:08:17;  -7.39;  -1.18;   2.75;   0.11;   7.93;   4.97;  17.25;  16.71;  22.14;  19.82; -10.53;    1.3;    1.1;    1.1;    1.1;  -1.03;  -6.46; -11.93;  -9.47;   3.85;  62.00;  52.00;  14.80;100;100
2160; 6/05/2018; 9:38:17;  -7.18;  -0.75;   2.99;   1.04;   7.99;   6.23;  17.01;  17.86;  22.69;  19.46; -10.50;    1.3;    1.1;    1.1;    1.1;  -2.59;  -6.24; -11.55;  -9.57;   0.00;  10.00;  51.50;   0.00;100;100
2161; 6/05/2018; 9:48:17;  -7.11;  -0.81;   3.18;   0.14;   8.37;   4.86;  17.61;  16.94;  22.75;  19.48; -10.38;    1.3;    1.1;    1.1;    1.1;  -1.41;  -6.18; -11.60;  -9.50;   0.00;  61.00;  63.75;   0.00;100;100
2162; 6/05/2018; 9:58:17;  -7.04;  -1.09;   2.67;   0.23;   8.03;   5.74;  17.60;  16.69;  22.62;  19.78; -10.31;    1.2;    1.1;    1.1;    1.1;  -1.94;  -6.09; -11.25;  -9.44;   6.00;  31.35;  63.50;  13.00;100;100
2163; 6/05/2018;10:08:17;  -7.11;  -1.84;   2.96;  -0.28;   8.38;   3.76;  17.56;  14.56;  22.32;  20.09; -10.31;    1.2;    1.1;    1.1;    1.1;  -0.69;  -6.17; -11.57;  -9.37;  19.95; 100.00;  50.75;  17.10;100;100
2164; 6/05/2018;10:13:17;  -7.02;  -1.35;   2.49;   0.53;   7.78;   5.77;  17.57;  16.47;  22.52;  19.55; -10.34;    1.3;    1.1;    1.1;    1.1;  -2.68;  -6.08; -11.21;  -9.36;  37.30;  87.00;  50.75;  14.00;100;100
2166; 6/05/2018;10:28:17;  -7.11;  -3.80;   2.08;  -3.95;   6.16;   5.43;  17.37;  16.88;  22.43;  20.10; -10.26;    1.3;    1.1;    1.1;    1.1;  -2.55;  -6.14; -11.25;  -9.31; 100.00;  48.00;  50.50;  59.95;100;100
2167; 7/05/2018;14:13:17; -10.68;-298;131;-116;886;   2.50;1747;1509;  22.52;1979; -15.26;    1.2;    1.1;    1.1;    1.1;-123;-963; -15.68; -12.62;  33.85; 100.00;  49.75;   0.00;100;100
2168; 7/05/2018;21:53:17;  -9.17;  -1.99;  -0.15;   0.29;  11.36;   8.07;  17.39;  17.19;  22.72;  19.42; -12.04;    1.0;    1.1;    1.1;    1.1;  -5.21;  -7.48; -13.02; -11.27;  55.05;  53.50;  62.25;  37.05;100;100
2171; 9/05/2018;11:23:17;  -3.57;  -1.29;   4.95;   3.01;   6.23;   3.72;  17.86;  17.73;  24.53;  19.79;  -6.38;    1.1;    1.1;    1.1;    1.1;   1.31;  -2.44;  -6.99;  -4.93;  17.45;  22.50;  48.25;  12.60;100;100
2172; 9/05/2018;11:38:17;  -4.38;  -1.69;   3.85;   0.08;   6.73;   5.25;  17.71;  17.53;  23.00;  19.55;  -6.66;    1.2;    1.1;    1.1;    1.1;   0.78;  -3.16;  -7.82;  -5.11;  38.45;  34.00;  60.25;  62.85;100;100
2173; 9/05/2018;12:23:17;  -5.46;  -2.50;   2.18;  -1.43;  11.83;   8.36;  17.58;  17.49;  22.85;  19.53;  -8.08;    1.1;    1.1;    1.1;    1.1;  -2.29;  -4.15;  -8.87;  -6.23;  78.50;  23.50;  61.50;  38.30;100;100
2174; 9/05/2018;12:28:17;  -5.70;  -2.59;   3.88;  -2.93;   6.44;   1.83;  17.43;  16.71;  22.49;  20.04;  -8.11;    1.0;    1.1;    1.1;    1.1;  -0.34;  -4.36;  -9.02;  -6.32;  53.80;  52.85;  58.90;   0.00;100;100
2177; 9/05/2018;13:18:17;  -5.24;  -2.25;   2.53;   0.05;  12.37;   9.76;  17.49;  17.20;  22.62;  19.64;  -7.70;    1.0;    1.1;    1.1;    1.1;  -0.36;  -3.96;  -9.05;  -6.50;  53.95;  49.50;  48.75;  33.15;100;100
2179; 9/05/2018;13:38:17;  -4.92;  -1.79;   2.36;   0.08;  11.85;  11.46;  17.58;  16.80;  22.52;  19.85;  -7.44;    1.1;    1.1;    1.1;    1.1;  -1.43;  -3.68;  -8.31;  -6.37;  42.00;  70.65;  48.75;  47.00;100;100
2180; 9/05/2018;13:53:17;  -5.21;  -2.28;   2.65;  -1.39;  10.12;   7.68;  17.41;  16.52;  22.48;  20.17;  -7.22;    1.1;    1.1;    1.1;    1.1;  -2.40;  -3.86;  -8.57;  -6.21;  69.75;  75.50;  49.25;  71.70;100;100
2181; 9/05/2018;13:58:17;  -4.90;  -1.21;   2.74;   0.26;  11.09;  10.70;  17.35;  16.79;  22.47;  19.99;  -7.12;    1.1;    1.1;    1.1;    1.1;  -1.19;  -3.62;  -8.55;  -6.16;  10.00;  67.95;  49.25;  78.65;100;100
2182; 9/05/2018;14:03:17;  -4.75;  -1.74;   3.45;   0.04;   8.46;   6.74;  17.61;  17.14;  22.60;  19.68;  -7.05;    1.1;    1.1;    1.1;    1.1;   0.44;  -3.51;  -8.36;  -6.12;  31.10;  47.50;  49.25;  34.40;100;100
2183; 9/05/2018;14:08:17;  -4.96;  -2.53;   3.58;  -0.24;   7.07;   2.54;  18.39;  17.66;  22.76;  19.45;  -6.98;    1.2;    1.1;    1.1;    1.1;   0.42;  -3.66;  -8.27;  -6.06;  75.00;  24.45;  61.75;   0.00;100;100
2184;12.05.2018;12:58:17;  -5.09;  -0.82;   4.08;   0.49;   7.58;   4.71;  17.49;  17.09;  24.65;  21.55;  -7.99;    1.0;    1.1;    1.1;    1.1;   0.44;  -4.32;  -9.26;  -6.73;   0.00;  56.00;  51.00;   0.00;100;100
2185;12.05.2018;13:08:17;  -4.99;  -2.52;   2.88;  -2.81;  10.72;   7.03;  17.40;  16.53;  24.54;  21.98;  -8.10;    1.1;    1.1;    1.1;    1.1;  -0.80;  -4.26;  -9.50;  -6.72;  76.50;  64.50;  60.40;  56.85;100;100
2186;12.05.2018;13:43:17;  -5.09;  -0.92;   3.18;  -0.14;  10.86;  10.43;  17.39;  16.11;  24.66;  21.92;  -8.20;    1.0;    1.1;    1.1;    1.1;  -1.31;  -4.31;  -9.36;  -6.88;   0.00;  68.00;  64.00;  63.40;100;100
2187;12.05.2018;13:48:17;  -5.18;  -2.21;   3.67;  -0.69;   5.04;   3.06;  17.27;  17.22;  24.47;  22.01;  -8.24;    1.1;    1.1;    1.1;    1.1;  -1.74;  -4.38;  -9.11;  -6.94;  66.55;  48.00;  51.75;  73.60;100;100
2188;12.05.2018;13:53:17;  -5.56;  -1.86;   3.56;  -0.29;   5.65;   3.40;  17.19;  16.77;  24.54;  21.64;  -8.42;    1.1;    1.1;    1.1;    1.1;  -1.13;  -4.74;  -9.55;  -6.99;  56.25;  74.50;  51.75;   0.00;100;100
2189;12.05.2018;14:08:17;  -5.87;  -3.00;   3.85;  -4.01;   6.11;   1.33;  17.39;  16.59;  24.61;  21.92;  -8.93;    1.0;    1.1;    1.1;    1.1;  -1.40;  -5.04;  -9.87;  -7.40;  66.55;  65.00;  64.25;   2.85;100;100
2190;12.05.2018;14:13:17;  -6.13;  -3.47;   3.34;  -4.03;   6.95;   1.98;  17.20;  16.04;  24.44;  22.12;  -9.09;    1.1;    1.1;    1.1;    1.1;  -1.61;  -5.27; -10.16;  -7.56;  92.85;  90.00;  51.50;   0.00;100;100
2191;12.05.2018;14:28:17;  -6.23;  -2.66;   3.16;  -1.77;   6.87;   4.56;  17.30;  17.32;  24.86;  21.54;  -9.29;    1.1;    1.1;    1.1;    1.1;  -1.38;  -5.41; -10.45;  -7.92;  85.65;  38.50;  63.50;  18.00;100;100
2192;12.05.2018;14:38:17;  -6.04;  -2.60;   2.39;  -0.44;  10.85;  10.39;  17.44;  17.10;  24.52;  21.62;  -9.38;    1.1;    1.1;    1.1;    1.1;  -2.70;  -5.23; -10.06;  -8.04;  82.50;  52.50;  50.75;  77.25;100;100
2194;12.05.2018;14:53:17;  -6.27;  -3.63;   2.91;  -3.12;   8.59;   7.91;  17.44;  16.26;  24.45;  21.95;  -9.67;    1.1;    1.1;    1.1;    1.1;  -2.60;  -5.44; -10.28;  -8.18;  96.85; 100.00;  50.50;  65.55;100;100
2195;12.05.2018;14:58:17;  -6.53;  -3.66;   3.57;  -2.51;   5.60;   0.73;  17.38;  17.17;  24.69;  21.40;  -9.74;    1.0;    1.1;    1.1;    1.1;  -1.05;  -5.68; -10.44;  -8.21;  90.35;  50.50;  63.25;   0.00;100;100
2198;15.05.2018;11:08:17;  -7.29;  -2.48;   3.08;  -0.67;   5.02;   3.67;  16.97;  17.28;  24.44;  21.93; -10.84;    1.0;    1.1;    1.1;    1.1;  -3.54;  -6.38; -11.50;  -9.40;  79.90;  48.50;  51.50;  34.90;100;100
2202;15.05.2018;11:38:17;  -7.43;  -3.50;   3.36;  -4.74;   4.73;   0.50;  16.37;  18.23;  24.82;  21.73; -10.88;    1.0;    1.1;    1.1;    1.1;  -3.09;  -6.48; -11.63;  -9.58; 100.00;   0.00;  63.50;  48.45;100;100
2203;15.05.2018;11:58:17;  -7.57;  -1.01;   3.85;   0.68;   7.74;   5.04;  16.62;  20.79;  24.71;  21.51; -10.93;    0.8;    1.1;    1.1;    1.1;  -1.55;  -6.64; -12.22;  -9.65;   0.00;   0.00;  50.50;   0.00;100;100
2205;15.05.2018;12:08:17;  -7.44;  -3.46;   3.41;  -4.65;   4.88;   2.05;  16.74;  22.10;  24.84;  21.68; -10.94;    1.0;    1.1;    1.1;    1.1;  -3.18;  -6.52; -11.75;  -9.68;  92.15;   0.00;  63.25;  76.95;100;100
2206;15.05.2018;18:03:17;  -9.19;  -1.57;   2.59;   1.16;   9.65;   7.44;  17.69;  30.04;  24.73;  21.44; -12.55;    0.9;    1.1;    1.1;    1.1;  -5.58;  -8.16; -14.06; -11.53;  43.00;   0.00;  62.50;   0.00;100;100
2208;15.05.2018;18:13:17;  -9.52;  -4.39;   3.14;  -6.69;   5.57;  -0.14;  17.69;  30.04;  24.57;  22.04; -12.64;    0.9;    1.1;    1.1;    1.1;  -4.42;  -8.46; -14.17; -11.58;  88.85;   0.00;  53.70;   0.00;100;100
2213;24.05.2018;12:28:17; -11.45;  -3.22;   2.08;  -4.47;   7.34;   1.25;  17.34;  16.99;  24.83;  21.73; -16.66;    1.2;    1.1;    1.1;    1.1;  -1.88; -10.30; -16.22; -15.12;  50.95;  39.00;  63.50;   0.00;100;100
2214;24.05.2018;12:43:17; -11.82;  -2.44;   2.78;  -1.90;   8.76;   2.02;  17.14;  17.35;  24.74;  21.38; -17.25;    1.2;    1.1;    1.1;    1.1;  -1.40; -10.67; -16.85; -15.06;  31.85;  41.50;  63.25;   0.00;100;100
2219;24.05.2018;14:18:17; -10.33;  -4.20;   1.45;  -4.41;   5.74;   1.62;  16.15;  16.34;  24.48;  21.86; -16.61;    1.2;    1.1;    1.1;    1.1;  -3.17;  -9.17; -14.37; -14.66; 100.00;  87.50;  51.25;   0.00;100;100
2221;24.05.2018;14:53:17; -10.43;  -1.21;   2.43;   1.09;   9.15;   6.86;  17.27;  16.67;  24.85;  21.56; -18.32;    1.2;    1.1;    1.1;    1.1;  -4.64;  -9.32; -15.25; -15.34;  26.75;  45.80;  63.50;   0.00;100;100
2222;24.05.2018;15:33:17; -10.81;  -5.09;   0.44;  -6.81;  10.28;   9.82;  16.29;  16.90;  24.49;  21.99; -20.13;    1.2;    1.1;    1.1;    1.1;  -4.43;  -9.67; -15.42; -15.97; 100.00;  61.00;  51.25;  48.75;100;100
2223;24.05.2018;16:03:17; -12.66;  -4.99;   0.45;  -4.28;   6.99;   2.31;  15.80;  15.98;  24.66;  21.32; -21.16;    1.2;    1.1;    1.1;    1.1;  -4.27; -11.45; -17.51; -16.48; 100.00; 100.00;  63.50;   0.00;100;100
2226;24.05.2018;16:33:17; -14.56;  -6.08;   0.13; -12.13;   6.84;   2.02;  16.86;  17.01;  24.66;  21.91; -22.14;    1.2;    1.1;    1.1;    1.1;  -5.41; -13.30; -19.78; -17.86;  94.05;  50.00;  63.50;   0.00;100;100
2227;24.05.2018;16:58:17; -13.98;  -5.89;   0.06; -10.22;   6.73;   1.92;  16.92;  17.21;  24.51;  22.02; -22.02;    1.2;    1.1;    1.1;    1.1;  -5.37; -12.72; -19.15; -18.41; 100.00;  50.00;  50.50;   0.00;100;100
2228;24.05.2018;17:18:17; -13.17;  -5.79;  -0.07;  -9.26;   6.51;   1.69;  16.58;  16.74;  24.81;  21.52; -21.76;    1.2;    1.1;    1.1;    1.1;  -4.30; -11.93; -17.78; -18.64; 100.00;  73.50;  63.25;   0.00;100;100
2230;27.05.2018;18:33:17;  -8.74;-158;314;   0.69;   6.66;   4.58;1710;1721;  24.63;2184; -14.23;    1.3;    1.1;    1.1;    1.1;-362;  -7.31; -12.32; -13.32;  30.50;  50.50;  50.75;   0.00;100;0
2229;29.05.2018;10:33:17; -10.04;-234;146;   0.14;  10.44;   9.07;1705;1728;  24.78;2133; -16.04;    1.2;    1.0;    1.1;    1.1;-380;  -8.17; -14.01; -15.00;  70.00;  44.50;  64.25;  83.40;100;0
2230;29.05.2018;10:58:17; -10.42;-132;210;   0.90;  10.89;   8.65;1707;1722;  25.02;2135; -16.24;    1.2;    1.0;    1.1;    1.1;-239;  -8.53; -15.03; -15.18;  15.00;  45.80;  64.00;  15.00;100;0
2231;29.05.2018;11:13:17; -10.50;-134;339;   0.42;   8.38;   4.42;1720;1743;  24.94;2136; -16.51;    1.2;    1.0;    1.1;    1.1;-132;  -8.54; -14.79; -15.30;  13.50;  41.00;  63.50;   0.00;100;0
2238;30.05.2018;18:58:17;  -4.02;-137;229;   0.33;   9.86;   9.28;1669;1681;  24.67;2188; -29.61;    1.2;    1.0;    1.1;    1.1;-107;  -3.09;  -8.33; -24.51;  18.50;  64.00;  52.25; 100.00;100;0
2241;31.05.2018;12:13:17; -11.60;-359;162;  -8.54;   5.56;   3.91;1674;1688;  24.70;2204; -20.41;    1.2;    1.0;    1.1;    1.1;-496;  -9.87; -15.28; -20.02;  93.60;  61.50;  51.00;  85.50;100;0
2245; 2/06/2018;23:58:17; -10.45;  -3.60;  -0.61;  -4.89;  12.42;   7.07;  17.11;  17.18;  24.32;  22.06; -25.33;    1.2;    1.0;    1.0;    1.1;  -7.14;  -9.06; -14.84; -22.61; 100.00;  42.50;  51.50;   0.00;100;0
2246; 3/06/2018; 0:13:17; -13.09;  -4.31;  -0.59;  -8.92;   7.07;   2.22;  16.97;  16.98;  23.93;  22.01; -25.52;    1.2;    1.0;    1.0;    1.1;  -6.92; -11.49; -17.38; -22.55; 100.00;  57.50;  52.25;   0.00;100;0
2247; 3/06/2018; 0:43:17; -11.55;  -3.34;  -0.30;  -1.59;   8.29;   3.85;  16.06;  16.14;  23.94;  21.65; -25.85;    1.2;    1.0;    1.0;    1.1;  -6.02; -10.18; -15.97; -22.61; 100.00; 100.00;  53.00;   0.00;100;0
2249; 3/06/2018; 0:58:17; -14.02;  -4.01;  -0.52;  -8.45;   6.14;   1.79;  17.13;  16.90;  23.19;  21.88; -25.75;    1.2;    1.0;    1.0;    1.1;  -5.35; -12.40; -18.77; -22.70; 100.00;  54.00;  53.25;  22.80;100;0
2253; 3/06/2018; 1:28:17; -17.77;  -2.81;  -0.57;  -0.14;   7.79;   5.15;  17.23;  16.98;  22.56;  21.66; -26.24;    1.2;    1.0;    1.0;    1.1;  -9.76; -16.06; -23.45; -22.90;  92.50;  48.00;  66.00;   0.00;100;0
2255; 5/06/2018;12:18:17;  -0.01;   0.60;   4.99;   0.37;   8.09;   5.77;  17.46;  16.37;  24.51;  22.01; -10.23;    1.3;    1.0;    1.0;    1.1;   2.13;   1.02;  -2.94;  -9.06;   0.00;  75.00;  51.00;  23.00;100;0
2258; 5/06/2018;13:53:17;   5.08;   4.81;   8.36;   6.62;  10.21;   7.93;  17.62;  17.64;  24.94;  21.50; -10.05;    1.3;    1.0;    1.0;    1.1;   7.15;   5.61;   2.56;  -8.27;   0.00;  23.50;  50.50;   0.00;100;0
2259; 6/06/2018; 2:18:17;  -1.68;  -0.18;   3.69;  -1.80;   5.71;   2.47;  17.47;  16.76;  21.34;  20.69; -15.07;    1.3;    0.9;    1.0;    1.1;   0.23;  -0.58;  -4.98; -12.25;   0.00;  56.50;  78.50;   0.00;100;0
2261; 6/06/2018; 2:28:17;  -4.73;  -1.30;   0.44;  -4.80;  10.90;  10.47;  17.51;  16.76;  21.21;  20.58; -17.18;    1.2;    0.9;    1.0;    1.1;  -4.59;  -3.24;  -8.42; -12.98;  15.00;  56.50;  78.50;  37.80;100;0
2262; 6/06/2018; 3:13:17;  -9.52;  -2.05;   0.05;  -1.98;   9.61;   9.22;  17.47;  16.66;  20.77;  20.14; -20.46;    1.3;    0.9;    1.0;    1.1;  -5.90;  -8.03; -13.11; -15.69;  53.50;  56.50;  91.00;  50.00;100;0
2260; 6/06/2018; 8:03:17;-1651;-240;-245;-431;2160;2193;  17.44;  17.08;2219;2123; -23.26;    1.2;    0.9;    1.0;    1.1;  -0.96;-1474; -23.83; -20.73;  70.00;  55.00;  75.00;   0.00;100;0
2261; 6/06/2018; 8:08:17;-1680;-248;-257;-402;2163;2196;  17.46;  16.77;2264;2149; -23.21;    1.2;    0.9;    1.0;    1.1;  -1.04;-1496; -23.75; -20.73;  74.00;  55.00;  62.50;   0.00;100;0
2262; 6/06/2018; 8:13:17;-1760;-209;-205;-298;2167;2200;  17.55;  17.29;2239;2118; -23.18;    1.2;    0.9;    1.0;    1.1;  -2.28;-1540; -23.33; -20.72;  54.50;  42.00;  62.50;   0.00;100;0
2263; 6/06/2018; 8:18:17;-1808;-245;-254;-404;2171;2202;  17.52;  16.82;2261;2112; -23.31;    1.2;    0.9;    1.0;    1.1;  -2.91;-1587; -22.83; -20.74;  73.00;  55.00;  62.50;   0.00;100;0
2264; 6/06/2018; 8:23:17;-1768;-209;-205;-349;2180;2212;  17.51;  17.26;2329;2152; -23.37;    1.2;    0.9;    1.0;    1.1;  -2.52;-1554; -22.62; -20.76;  54.50;  42.50;  62.50;   0.00;100;0
2265; 6/06/2018; 8:28:17;-1769;-239;-244;-361;2191;2222;  17.56;  16.87;2386;2195; -23.51;    1.2;    0.9;    1.0;    1.1;  -3.01;-1550; -22.61; -20.81;  69.50;  51.05;  62.50;   0.00;100;0
2266; 6/06/2018; 8:33:17;-1590;-270;-16;-1036;692;219;  17.33;  16.69;2385;2195; -23.69;    1.2;    0.9;    1.0;    1.1;  -5.48;-1405; -17.53; -20.87;  84.00;  77.00;  62.50;   0.00;100;0
2267; 6/06/2018; 8:38:17;-1096;-177;126;-94;616;267;  17.06;  16.30;2389;2199; -23.84;    1.2;    0.9;    1.0;    1.1;  -1.40;-948; -13.48; -20.92;  38.00;  87.00;  62.50;   0.00;100;0
2269; 9/06/2018; 3:53:17; -13.27;  -4.10;  -0.09;  -6.66;   7.53;   6.99;  17.35;  17.20;  20.16;  19.58; -20.40;    1.2;    1.0;    1.0;    1.1;  -3.88; -11.08; -16.90; -19.21; 100.00;  49.50; 100.00;  37.05;100;0
2274; 9/06/2018; 4:28:17; -15.50;  -4.45;  -1.16;  -5.35;   9.43;   4.76;  17.60;  17.52;  20.13;  19.51; -20.52;    1.2;    1.0;    1.0;    1.1;  -4.67; -12.61; -20.39; -19.28; 100.00;  28.50; 100.00;   0.00;100;0
2276; 9/06/2018; 4:48:17; -14.73;  -4.88;  -0.84;  -8.09;   7.15;   2.65;  17.61;  17.41;  20.10;  19.49; -20.35;    1.2;    1.0;    1.0;    1.1;  -5.08; -12.40; -18.08; -19.28; 100.00;  35.50; 100.00;   0.00;100;0
2280;12.06.2018; 3:48:17;  -8.65;  -2.46;   2.09;  -5.73;   8.57;   3.95;  17.58;  17.34;  20.33;  19.81; -14.28;    1.2;    1.0;    1.0;    1.1;  -1.97;  -6.53; -12.41; -13.61;  69.15;  41.50; 100.00;   0.00;100;0
2281;12.06.2018; 3:53:17;  -7.67;  -2.19;   1.70;  -3.72;   9.69;   9.27;  17.61;  17.01;  20.29;  19.78; -14.11;    1.2;    1.0;    1.0;    1.1;  -1.78;  -5.90; -11.37; -13.60;  58.00;  54.50; 100.00;  58.40;100;0
2284;12.06.2018;13:38:17; -10.84;  -2.46;   2.08;  -5.79;   2.91;  -0.67;  17.52;  16.09;  24.53;  22.04; -18.69;    1.2;    1.1;    1.1;    1.1;  -3.22;  -9.00; -14.09; -15.32;  73.50;  89.50;  51.50;   0.00;100;0
2286;12.06.2018;14:08:17; -12.44;  -2.40;   1.01;  -3.06;   5.43;   1.95;  17.60;  16.18;  24.62;  22.03; -20.36;    1.2;    1.1;    1.1;    1.1;  -2.82; -10.21; -16.08; -16.37;  71.00;  71.85;  51.25;   0.00;100;0
2287;12.06.2018;14:53:17; -14.18;  -1.16;   2.44;   3.04;   9.39;   7.09;  18.32;  17.70;  24.79;  21.38; -21.60;    1.2;    1.1;    1.1;    1.1;  -4.07; -10.81; -18.64; -18.26;   8.00;  21.50;  64.00;   0.00;100;0
2289;12.06.2018;15:18:17; -14.73;  -1.22;   2.63;   1.65;  10.04;   6.69;  18.39;  15.52;  24.95;  21.54; -21.73;    1.2;    1.1;    1.1;    1.1;  -3.23; -12.02; -19.14; -19.37;   8.50; 100.00;  63.50;   0.00;100;0
2290;12.06.2018;17:38:17; -11.77;  -2.47;   1.98;  -4.72;   9.87;   7.54;  17.44;  16.47;  24.64;  21.95; -22.29;    1.2;    1.1;    1.1;    1.1;  -0.76;  -9.35; -16.12; -20.52;  72.00;  64.85;  64.00;  81.00;100;0
2291;12.06.2018;17:43:17; -10.94;  -2.05;   1.62;  -0.15;  10.51;  10.00;  17.55;  16.98;  24.61;  21.64; -22.10;    1.2;    1.1;    1.1;    1.1;  -3.19;  -8.83; -14.18; -20.46;  54.00;  63.00;  51.25;  59.60;100;0
2292;12.06.2018;17:53:17; -11.44;  -2.22;   1.84;  -3.08;  10.60;  10.08;  17.52;  16.49;  24.64;  21.90; -23.11;    1.2;    1.1;    1.1;    1.1;  -1.88;  -9.20; -15.43; -20.66;  58.50;  62.85;  63.75;  84.80;100;0
2295;15.06.2018; 9:23:17; -10.96;  -3.89;   1.48;  -6.39;   4.57;   2.99;  17.22;  17.24;  24.60;  21.99; -15.57;    1.2;    1.0;    1.1;    1.1;  -4.27;  -9.04; -14.17; -14.60; 100.00;  48.00;  51.50;  79.80;100;0
2296;15.06.2018; 9:53:17; -11.19;  -1.46;   2.81;   0.02;   8.21;   4.30;  17.28;  17.30;  25.08;  21.39; -15.57;    1.2;    1.0;    1.1;    1.1;  -1.72;  -9.25; -15.19; -14.72;  18.50;  39.50;  64.25;   0.00;100;0
2297;15.06.2018;10:08:17; -11.05;  -1.21;   2.80;   2.43;   7.33;   5.24;  17.27;  17.72;  24.91;  21.37; -15.47;    1.2;    1.0;    1.1;    1.1;  -3.36;  -9.11; -14.61; -14.68;  10.00;  23.50;  63.75;   0.00;100;0
2298;18.06.2018;12:13:17;  -7.49;  -1.75;   3.06;  -2.79;   6.42;   1.77;  17.31;  17.24;  25.02;  21.52; -13.34;    1.2;    0.9;    0.9;    1.1;  -0.44;  -5.98; -11.07; -12.12;  36.00;  49.50;  64.00;   0.00;100;0
